目標,請求記号,書名,著者,出版者,出版年,ISBN,紀伊國屋,カーリル
03,369-ﾐ ,生活保護リアル,みわよしこ∥著,日本評論社,2013.7,9784535586468,https://www.kinokuniya.co.jp/f/dsg-01-9784535586468,https://calil.jp/book/9784535586468
03,369-ﾓ ,よくわかる女性と福祉,森田明美∥編著,ミネルヴァ書房,2011.4,9784623059560,https://www.kinokuniya.co.jp/f/dsg-01-9784623059560,https://calil.jp/book/9784623059560
03,491-ｶ ,マンガでわかる免疫学,河本宏∥著、しおざき忍∥作画、ビーコムプラス∥制作,オーム社,2014.6,9784274050091,https://www.kinokuniya.co.jp/f/dsg-01-9784274050091,https://calil.jp/book/9784274050091
03,493-ｲ ,絵でわかる感染症 - withもやしもん,岩田健太郎∥著、石川雅之∥絵,講談社,2015.1,9784061547759,https://www.kinokuniya.co.jp/f/dsg-01-9784061547759,https://calil.jp/book/9784061547759
03,493-ｺ 1,保健室で見る感染症の本 - インフルエンザ編 いつでもどこでも無差別攻撃,近藤とも子∥著、大森真司∥絵,国土社,2013.1,9784337171015,https://www.kinokuniya.co.jp/f/dsg-01-9784337171015,https://calil.jp/book/9784337171015
03,493-ｺ 2,保健室で見る感染症の本 - 学校感染症編 学校で大あばれ!!バイキン軍団,近藤とも子∥著、大森真司∥絵,国土社,2013.2,9784337171022,https://www.kinokuniya.co.jp/f/dsg-01-9784337171022,https://calil.jp/book/9784337171022
03,493-ｺ 3,保健室で見る感染症の本 - 食中毒編 みんなをねらう、危険な敵,近藤とも子∥著、大森真司∥絵,国土社,2013.3,9784337171039,https://www.kinokuniya.co.jp/f/dsg-01-9784337171039,https://calil.jp/book/9784337171039
03,R369-ｺ 2023,子ども白書 - 特集いま、子どもの声を〈きく〉,日本子どもを守る会∥編著,かもがわ出版,2023.8,9784780312812,https://www.kinokuniya.co.jp/f/dsg-01-9784780312812,https://calil.jp/book/9784780312812
04,369-ﾖ ,フランスの子育てが、日本よりも10倍楽な理由,横田増生∥著,洋泉社,2009.3,9784862483751,https://www.kinokuniya.co.jp/f/dsg-01-9784862483751,https://calil.jp/book/9784862483751
04,370-ﾄ ,グレる。グレそう。グレたら。,東本三郎∥著,太陽出版(発売),2009.5,9784884696283,https://www.kinokuniya.co.jp/f/dsg-01-9784884696283,https://calil.jp/book/9784884696283
